Dataset,Study
0000028ti=127176cl=2db=184,present
0000028ti=128512cl=1db=184,present
0000028ti=139875cl=0db=184,present
0000028ti=147366cl=41db=184,present
0000028ti=147366cl=49db=184,present
0000028ti=149371cl=1db=184,present
0000028ti=154725cl=5db=184,present
0000028ti=154725cl=6db=184,present
0000028ti=155616cl=113db=184,present
0000028ti=156305cl=8db=184,present
0000028ti=157822cl=12db=184,present
0000028ti=162266cl=5db=184,present
0000028ti=165821cl=1db=184,present
0000028ti=166512cl=5db=184,present
0000028ti=169733cl=10db=184,present
0000028ti=172618cl=1db=184,present
0000028ti=173697cl=9db=184,present
0000028ti=175121cl=17db=184,present
0000028ti=186274cl=3db=184,present
0000028ti=214599cl=3db=184,present
0000028ti=217059cl=14db=184,present
0000028ti=218102cl=1db=184,present
0000028ti=219103cl=11db=184,present
0000028ti=222544cl=253db=184,present
0000028ti=224525cl=3db=184,present
0000028ti=236639cl=1db=184,present
0000028ti=25645cl=3db=184,present
0000028ti=287719cl=0db=184,present
0000028ti=28842cl=10db=184,present
0000028ti=29616cl=0db=184,present
0000028ti=29616cl=2db=184,present
0000028ti=29966cl=4db=184,present
0000028ti=29967cl=4db=184,present
0000028ti=3052cl=88db=184,present
0000028ti=30560cl=19db=184,present
0000028ti=30560cl=4db=184,present
0000028ti=30560cl=6db=184,present
0000028ti=30560cl=8db=184,present
0000028ti=31024cl=11db=184,present
0000028ti=314293cl=67db=184,present
0000028ti=3214cl=153db=184,present
0000028ti=32346cl=28db=184,present
0000028ti=325289cl=1db=184,present
0000028ti=33373cl=1db=184,present
0000028ti=33374cl=1db=184,present
0000028ti=33375cl=1db=184,present
0000028ti=3337cl=31db=184,present
0000028ti=335011cl=0db=184,present
0000028ti=33554cl=526db=184,present
0000028ti=338152cl=14db=184,present
0000028ti=338152cl=23db=184,present
0000028ti=34635cl=5db=184,present
0000028ti=34725cl=2db=184,present
0000028ti=34989cl=9db=184,present
0000028ti=35490cl=3db=184,present
0000028ti=36297cl=7db=184,present
0000028ti=36298cl=7db=184,present
0000028ti=37243cl=2db=184,present
0000028ti=37456cl=3db=184,present
0000028ti=376911cl=36db=184,present
0000028ti=376913cl=66db=184,present
0000028ti=376915cl=62db=184,present
0000028ti=384324cl=1db=184,present
0000028ti=388435cl=12db=184,present
0000028ti=38871cl=5db=184,present
0000028ti=39256cl=2db=184,present
0000028ti=39256cl=3db=184,present
0000028ti=3934cl=11db=184,present
0000028ti=3963cl=11db=184,present
0000028ti=396426cl=2db=184,present
0000028ti=3977cl=11db=184,present
0000028ti=402723cl=4db=184,present
0000028ti=40306cl=1db=184,present
0000028ti=40550cl=3db=184,present
0000028ti=40552cl=0db=184,present
0000028ti=41020cl=5db=184,present
0000028ti=41021cl=5db=184,present
0000028ti=41087cl=3db=184,present
0000028ti=41116cl=0db=184,present
0000028ti=41831cl=14db=184,present
0000028ti=41946cl=9db=184,present
0000028ti=4204cl=6db=184,present
0000028ti=43288cl=2db=184,present
0000028ti=433502cl=2db=184,present
0000028ti=43470cl=1db=184,present
0000028ti=43787cl=14db=184,present
0000028ti=44177cl=3db=184,present
0000028ti=4441cl=33db=184,present
0000028ti=4441cl=34db=184,present
0000028ti=45124cl=0db=184,present
0000028ti=452336cl=1db=184,present
0000028ti=45426cl=5db=184,present
0000028ti=4557cl=1db=184,present
0000028ti=4619cl=1db=184,present
0000028ti=466544cl=1db=184,present
0000028ti=469206cl=0db=184,present
0000028ti=47526cl=5db=184,present
0000028ti=504493cl=27db=184,present
0000028ti=5114cl=78db=184,present
0000028ti=51280cl=2db=184,present
0000028ti=51763cl=11db=184,present
0000028ti=5197cl=12db=184,present
0000028ti=5198cl=14db=184,present
0000028ti=5215cl=121db=184,present
0000028ti=5251cl=17db=184,present
0000028ti=53171cl=1db=184,present
0000028ti=53271cl=0db=184,present
0000028ti=5592cl=1db=184,present
0000028ti=58643cl=3db=184,present
0000028ti=60804cl=13db=184,present
0000028ti=613034cl=17db=184,present
0000028ti=63473cl=2db=184,present
0000028ti=63710cl=2db=184,present
0000028ti=6670cl=88db=184,present
0000028ti=6671cl=88db=184,present
0000028ti=6725cl=13db=184,present
0000028ti=68515cl=4db=184,present
0000028ti=69556cl=11db=184,present
0000028ti=7081cl=0db=184,present
0000028ti=71481cl=1db=184,present
0000028ti=715360cl=2db=184,present
0000028ti=7197cl=14db=184,present
0000028ti=7198cl=14db=184,present
0000028ti=7199cl=14db=184,present
0000028ti=721812cl=18db=184,present
0000028ti=721813cl=18db=184,present
0000028ti=74972cl=72db=184,present
0000028ti=75547cl=1db=184,present
0000028ti=79744cl=13db=184,present
0000028ti=79788cl=0db=184,present
0000028ti=82616cl=2db=184,present
0000028ti=83319cl=2db=184,present
0000028ti=8426cl=23db=184,present
0000028ti=8427cl=10db=184,present
0000028ti=84322cl=88db=184,present
0000028ti=8461cl=1db=184,present
0000028ti=84661cl=0db=184,present
0000028ti=8830cl=7db=184,present
0000028ti=92005cl=5db=184,present
0000028ti=9206cl=0db=184,present
0000028ti=93111cl=5db=184,present
0000028ti=9443cl=36db=184,present
0000028ti=9479cl=62db=184,present
0000028ti=9479cl=70db=184,present
0000028ti=95186cl=17db=184,present
0000028ti=9526cl=27db=184,present
0000028ti=9526cl=28db=184,present
0000028ti=9526cl=77db=184,present
0000028ti=9526cl=88db=184,present
0000028ti=9655cl=45db=184,present
0000028ti=9975cl=143db=184,present
0000029ti=10010cl=43db=184,present
0000029ti=101146cl=22db=184,present
0000029ti=101165cl=4db=184,present
0000029ti=101165cl=5db=184,present
0000029ti=10161cl=0db=184,present
0000029ti=113508cl=17db=184,present
0000029ti=114657cl=7db=184,present
0000029ti=125045cl=1db=184,present
0000029ti=125190cl=4db=184,present
0000029ti=125282cl=6db=184,present
0000029ti=125282cl=7db=184,present
0000029ti=127268cl=3db=184,present
0000029ti=127268cl=4db=184,present
0000029ti=13394cl=4db=184,present
0000029ti=135860cl=2db=184,present
0000029ti=135860cl=5db=184,present
0000029ti=13617cl=29db=184,present
0000029ti=137579cl=0db=184,present
0000029ti=137579cl=1db=184,present
0000029ti=13802cl=17db=184,present
0000029ti=147389cl=46db=184,present
0000029ti=15170cl=21db=184,present
0000029ti=156305cl=0db=184,present
0000029ti=156305cl=2db=184,present
0000029ti=156333cl=1db=184,present
0000029ti=156333cl=2db=184,present
0000029ti=158366cl=17db=184,present
0000029ti=158366cl=18db=184,present
0000029ti=158394cl=12db=184,present
0000029ti=158394cl=13db=184,present
0000029ti=162809cl=14db=184,present
0000029ti=164081cl=1db=184,present
0000029ti=167486cl=2db=184,present
0000029ti=167486cl=4db=184,present
0000029ti=167486cl=5db=184,present
0000029ti=169226cl=0db=184,present
0000029ti=169226cl=1db=184,present
0000029ti=176448cl=1db=184,present
0000029ti=183334cl=5db=184,present
0000029ti=186771cl=32db=184,present
0000029ti=192514cl=1db=184,present
0000029ti=192734cl=32db=184,present
0000029ti=20202cl=13db=184,present
0000029ti=20802cl=1db=184,present
0000029ti=214909cl=5db=184,present
0000029ti=219129cl=3db=184,present
0000029ti=224525cl=4db=184,present
0000029ti=226742cl=18db=184,present
0000029ti=232194cl=29db=184,present
0000029ti=241779cl=5db=184,present
0000029ti=241804cl=7db=184,present
0000029ti=243882cl=1db=184,present
0000029ti=24646cl=16db=184,present
0000029ti=24646cl=3db=184,present
0000029ti=267069cl=3db=184,present
0000029ti=269181cl=10db=184,present
0000029ti=269181cl=9db=184,present
0000029ti=27544cl=4db=184,present
0000029ti=27549cl=9db=184,present
0000029ti=284555cl=4db=184,present
0000029ti=288203cl=0db=184,present
0000029ti=297308cl=97db=184,present
0000029ti=297738cl=0db=184,present
0000029ti=30102cl=1db=184,present
0000029ti=301454cl=0db=184,present
0000029ti=30560cl=10db=184,present
0000029ti=30560cl=14db=184,present
0000029ti=30560cl=28db=184,present
0000029ti=30560cl=3db=184,present
0000029ti=30560cl=7db=184,present
0000029ti=306269cl=1db=184,present
0000029ti=30871cl=6db=184,present
0000029ti=31002cl=1db=184,present
0000029ti=31012cl=0db=184,present
0000029ti=31012cl=1db=184,present
0000029ti=31028cl=12db=184,present
0000029ti=314293cl=35db=184,present
0000029ti=32123cl=3db=184,present
0000029ti=32281cl=10db=184,present
0000029ti=32341cl=29db=184,present
0000029ti=32352cl=0db=184,present
0000029ti=32518cl=4db=184,present
0000029ti=330750cl=42db=184,present
0000029ti=3328cl=1db=184,present
0000029ti=338152cl=21db=184,present
0000029ti=338152cl=22db=184,present
0000029ti=338152cl=24db=184,present
0000029ti=338152cl=25db=184,present
0000029ti=338152cl=33db=184,present
0000029ti=338152cl=37db=184,present
0000029ti=338152cl=38db=184,present
0000029ti=344713cl=4db=184,present
0000029ti=34478cl=0db=184,present
0000029ti=34989cl=11db=184,present
0000029ti=34989cl=14db=184,present
0000029ti=36669cl=29db=184,present
0000029ti=3681cl=1db=184,present
0000029ti=379584cl=27db=184,present
0000029ti=384324cl=22db=184,present
0000029ti=3939cl=10db=184,present
0000029ti=3982cl=16db=184,present
0000029ti=40022cl=12db=184,present
0000029ti=40022cl=1db=184,present
0000029ti=40022cl=2db=184,present
0000029ti=40022cl=3db=184,present
0000029ti=40022cl=4db=184,present
0000029ti=40022cl=5db=184,present
0000029ti=40022cl=6db=184,present
0000029ti=40022cl=7db=184,present
