Dataset,Study
my_ENSGALG00000003709.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000003807.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000003907.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000003924.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000003936.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000003954.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000004143.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000004220.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000004259.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000004269.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000004302.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000004357.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000004372.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000004431.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000004554.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000004583.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000004588.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000004686.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000004696.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000004773.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000004779.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000004818.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000004825.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000004899.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000004953.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000005002.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000005182.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000005229.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000005309.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000005337.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000005516.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000005670.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000005694.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000005758.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000005807.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000005820.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000005832.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000005834.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000005900.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000005902.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000006001.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000006066.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000006113.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000006156.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000006206.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000006276.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000006425.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000006439.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000006619.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000006731.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000006767.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000006824.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000006856.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000006974.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000007024.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000007289.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000007315.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000007484.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000007492.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000007520.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000007591.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000007705.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000007711.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000007931.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000008108.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000008130.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000008138.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000008172.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000008229.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000008314.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000008338.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000008454.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000008496.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000008517.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000008632.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000008758.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000008812.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000008916.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000009061.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000009085.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000009228.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000009264.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000009288.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000009313.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000009369.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000009829.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000009879.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000009961.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000009975.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000010005.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000010178.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000010243.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000010298.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000010315.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000010618.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000010641.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000010671.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000010848.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000011174.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000011184.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000011192.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000011323.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000011403.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000011434.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000011452.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000011555.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000011649.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000011885.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000011887.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000011905.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000011917.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000011950.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000011965.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000011966.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000012011.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000012013.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000012034.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000012109.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000012149.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000012196.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000012233.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000012244.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000012259.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000012312.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000012355.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000012365.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000012379.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000012529.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000012543.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000012568.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000012611.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000012724.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000012798.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000012964.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000013021.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000013041.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000013160.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000013227.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000013352.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000013599.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000013863.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000013962.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000014038.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000014115.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000014163.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000014226.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000014247.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000014445.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000014447.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000014570.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000014648.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000014786.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000014824.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000014862.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000014920.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000014991.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000015200.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000015225.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000015240.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000015285.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000015308.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000015326.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000015330.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000015334.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000015339.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000015397.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000015402.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000015405.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000015436.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000015439.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000015451.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000015485.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000015689.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000015729.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000015889.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000015917.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000015976.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000015995.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000016053.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000016119.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000016122.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000016241.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000016320.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000016357.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000016409.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000016479.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000016536.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000016633.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000016666.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000016731.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000016753.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000016847.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000016909.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000016973.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000016996.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000017125.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000017129.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000017153.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000017289.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000017447.macse_DNA_gb,Brown and Thomson 2016
my_ENSGALG00000020605.macse_DNA_gb,Brown and Thomson 2016
NFIA005-nucl,Brown and Thomson 2016
NFIA007-nucl,Brown and Thomson 2016
NFIB-nucl,Brown and Thomson 2016
NFYB-nucl,Brown and Thomson 2016
NR2C2-nucl,Brown and Thomson 2016
NTS-nucl,Brown and Thomson 2016
OAT-nucl,Brown and Thomson 2016
OAZ1-nucl,Brown and Thomson 2016
OLA1-nucl,Brown and Thomson 2016
PABPC1-nucl,Brown and Thomson 2016
PAPOLA-nucl,Brown and Thomson 2016
PDCD10-nucl,Brown and Thomson 2016
POLR2B-nucl,Brown and Thomson 2016
PPM1A-nucl,Brown and Thomson 2016
PPTC7-nucl,Brown and Thomson 2016
PSAT1-nucl,Brown and Thomson 2016
PSMA6-nucl,Brown and Thomson 2016
PSMC6-nucl,Brown and Thomson 2016
PSMD14-nucl,Brown and Thomson 2016
RAB1A-nucl,Brown and Thomson 2016
RAN-nucl,Brown and Thomson 2016
refGene.NM_000024.1.inc,Brown and Thomson 2016
refGene.NM_000079.1.inc,Brown and Thomson 2016
refGene.NM_000134.1.inc,Brown and Thomson 2016
refGene.NM_000154.1,Brown and Thomson 2016
refGene.NM_000165.1,Brown and Thomson 2016
refGene.NM_000166.1,Brown and Thomson 2016
refGene.NM_000185.1.inc,Brown and Thomson 2016
refGene.NM_000214.1.inc,Brown and Thomson 2016
refGene.NM_000217.1,Brown and Thomson 2016
refGene.NM_000269.1,Brown and Thomson 2016
refGene.NM_000281.1.inc,Brown and Thomson 2016
refGene.NM_000284.1.inc,Brown and Thomson 2016
refGene.NM_000373.1.inc,Brown and Thomson 2016
refGene.NM_000394.1,Brown and Thomson 2016
refGene.NM_000448.1.inc,Brown and Thomson 2016
refGene.NM_000462.1.inc,Brown and Thomson 2016
refGene.NM_000529.1.inc,Brown and Thomson 2016
refGene.NM_000536.1,Brown and Thomson 2016
refGene.NM_000549.1.inc,Brown and Thomson 2016
refGene.NM_000550.1.inc,Brown and Thomson 2016
refGene.NM_000579.1.inc,Brown and Thomson 2016
refGene.NM_000730.1.inc,Brown and Thomson 2016
refGene.NM_000740.1,Brown and Thomson 2016
refGene.NM_000794.1,Brown and Thomson 2016
refGene.NM_000863.1.inc,Brown and Thomson 2016
refGene.NM_000865.1.inc,Brown and Thomson 2016
refGene.NM_000909.1,Brown and Thomson 2016
refGene.NM_000910.1,Brown and Thomson 2016
refGene.NM_000972.1,Brown and Thomson 2016
refGene.NM_000975.1.inc,Brown and Thomson 2016
refGene.NM_000981.1,Brown and Thomson 2016
refGene.NM_000986.1,Brown and Thomson 2016
refGene.NM_000988.1,Brown and Thomson 2016
refGene.NM_000990.1.inc,Brown and Thomson 2016
refGene.NM_000997.1,Brown and Thomson 2016
refGene.NM_001001346.1.inc,Brown and Thomson 2016
refGene.NM_001001349.1,Brown and Thomson 2016
refGene.NM_001001522.1,Brown and Thomson 2016
refGene.NM_001001660.1.inc,Brown and Thomson 2016
refGene.NM_001001664.1,Brown and Thomson 2016
refGene.NM_001001850.1.inc,Brown and Thomson 2016
refGene.NM_001001959.1.inc,Brown and Thomson 2016
refGene.NM_001001977.1,Brown and Thomson 2016
refGene.NM_001002249.1,Brown and Thomson 2016
refGene.NM_001003716.1.inc,Brown and Thomson 2016
refGene.NM_001003760.1.inc,Brown and Thomson 2016
refGene.NM_001003787.1,Brown and Thomson 2016
refGene.NM_001003803.1.inc,Brown and Thomson 2016
refGene.NM_001004023.1.inc,Brown and Thomson 2016
refGene.NM_001005474.1,Brown and Thomson 2016
refGene.NM_001006623.1.inc,Brown and Thomson 2016
refGene.NM_001006939.1.inc,Brown and Thomson 2016
refGene.NM_001007527.1.inc,Brown and Thomson 2016
refGene.NM_001007553.1,Brown and Thomson 2016
refGene.NM_001008489.1.inc,Brown and Thomson 2016
refGene.NM_001008726.1.inc,Brown and Thomson 2016
refGene.NM_001010898.1,Brown and Thomson 2016
refGene.NM_001012425.1.inc,Brown and Thomson 2016
refGene.NM_001013399.1,Brown and Thomson 2016
refGene.NM_001014839.1.inc,Brown and Thomson 2016
refGene.NM_001015048.1,Brown and Thomson 2016
refGene.NM_001015880.1.inc,Brown and Thomson 2016
refGene.NM_001016.1.inc,Brown and Thomson 2016
refGene.NM_001017369.1.inc,Brown and Thomson 2016
refGene.NM_001017524.1.inc,Brown and Thomson 2016
refGene.NM_001018080.1.inc,Brown and Thomson 2016
refGene.NM_001023.1,Brown and Thomson 2016
refGene.NM_001024226.1,Brown and Thomson 2016
refGene.NM_001024649.1.inc,Brown and Thomson 2016
refGene.NM_001024680.1.inc,Brown and Thomson 2016
refGene.NM_001024921.1,Brown and Thomson 2016
refGene.NM_001024959.1.inc,Brown and Thomson 2016
refGene.NM_001025203.1.inc,Brown and Thomson 2016
refGene.NM_001029859.1,Brown and Thomson 2016
refGene.NM_001029863.1.inc,Brown and Thomson 2016
refGene.NM_001031692.1,Brown and Thomson 2016
refGene.NM_001031716.1,Brown and Thomson 2016
refGene.NM_001033050.1.inc,Brown and Thomson 2016
refGene.NM_001033059.1.inc,Brown and Thomson 2016
refGene.NM_001037133.1.inc,Brown and Thomson 2016
refGene.NM_001037278.1,Brown and Thomson 2016
refGene.NM_001039199.1.inc,Brown and Thomson 2016
refGene.NM_001039770.1.inc,Brown and Thomson 2016
refGene.NM_001042403.1,Brown and Thomson 2016
refGene.NM_001042453.1.inc,Brown and Thomson 2016
refGene.NM_001042510.1,Brown and Thomson 2016
refGene.NM_001042616.1,Brown and Thomson 2016
refGene.NM_001048249.1,Brown and Thomson 2016
refGene.NM_001048252.1,Brown and Thomson 2016
refGene.NM_001050.1,Brown and Thomson 2016
refGene.NM_001077427.1,Brown and Thomson 2016
refGene.NM_001080450.1.inc,Brown and Thomson 2016
refGene.NM_001080460.1.inc,Brown and Thomson 2016
refGene.NM_001080466.1.inc,Brown and Thomson 2016
refGene.NM_001081461.1.inc,Brown and Thomson 2016
refGene.NM_001081675.1.inc,Brown and Thomson 2016
refGene.NM_001097600.1,Brown and Thomson 2016
refGene.NM_001097633.1.inc,Brown and Thomson 2016
refGene.NM_001098.1.inc,Brown and Thomson 2016
refGene.NM_001098201.1.inc,Brown and Thomson 2016
refGene.NM_001099285.1.inc,Brown and Thomson 2016
refGene.NM_001099402.1,Brown and Thomson 2016
refGene.NM_001099640.1,Brown and Thomson 2016
refGene.NM_001099645.1.inc,Brown and Thomson 2016
refGene.NM_001099660.1,Brown and Thomson 2016
refGene.NM_001099679.1.inc,Brown and Thomson 2016
refGene.NM_001099693.1,Brown and Thomson 2016
refGene.NM_001102420.1.inc,Brown and Thomson 2016
refGene.NM_001105214.1,Brown and Thomson 2016
refGene.NM_001107.1.inc,Brown and Thomson 2016
refGene.NM_001110220.1.inc,Brown and Thomson 2016
refGene.NM_001114635.1,Brown and Thomson 2016
refGene.NM_001127399.1,Brown and Thomson 2016
refGene.NM_001127582.1.inc,Brown and Thomson 2016
refGene.NM_001127644.1,Brown and Thomson 2016
refGene.NM_001128164.1,Brown and Thomson 2016
refGene.NM_001128220.1,Brown and Thomson 2016
refGene.NM_001130173.1,Brown and Thomson 2016
refGene.NM_001130688.1.inc,Brown and Thomson 2016
refGene.NM_001134759.1.inc,Brown and Thomson 2016
refGene.NM_001135037.1.inc,Brown and Thomson 2016
refGene.NM_001135586.1,Brown and Thomson 2016
refGene.NM_001135654.1.inc,Brown and Thomson 2016
refGene.NM_001135664.1,Brown and Thomson 2016
refGene.NM_001135733.1.inc,Brown and Thomson 2016
refGene.NM_001135776.1,Brown and Thomson 2016
refGene.NM_001136495.1.inc,Brown and Thomson 2016
refGene.NM_001136497.1,Brown and Thomson 2016
refGene.NM_001142316.1.inc,Brown and Thomson 2016
refGene.NM_001142398.1.inc,Brown and Thomson 2016
refGene.NM_001142930.1.inc,Brown and Thomson 2016
refGene.NM_001143668.1.inc,Brown and Thomson 2016
refGene.NM_001143805.1,Brown and Thomson 2016
refGene.NM_001143823.1.inc,Brown and Thomson 2016
refGene.NM_001143824.1.inc,Brown and Thomson 2016
refGene.NM_001143957.1,Brown and Thomson 2016
refGene.NM_001144775.1,Brown and Thomson 2016
refGene.NM_001144990.1.inc,Brown and Thomson 2016
refGene.NM_001145033.1.inc,Brown and Thomson 2016
refGene.NM_001145113.1.inc,Brown and Thomson 2016
refGene.NM_001145281.1.inc,Brown and Thomson 2016
refGene.NM_001145299.1,Brown and Thomson 2016
refGene.NM_001145417.1.inc,Brown and Thomson 2016
refGene.NM_001145668.1,Brown and Thomson 2016
refGene.NM_001146077.1,Brown and Thomson 2016
refGene.NM_001146278.1.inc,Brown and Thomson 2016
refGene.NM_001151.1,Brown and Thomson 2016
refGene.NM_001159644.1.inc,Brown and Thomson 2016
refGene.NM_001159704.1,Brown and Thomson 2016
refGene.NM_001161417.1,Brown and Thomson 2016
refGene.NM_001161781.1,Brown and Thomson 2016
refGene.NM_001162496.1.inc,Brown and Thomson 2016
refGene.NM_001163287.1.inc,Brown and Thomson 2016
refGene.NM_001163558.1,Brown and Thomson 2016
refGene.NM_001164271.1,Brown and Thomson 2016
refGene.NM_001164722.1.inc,Brown and Thomson 2016
refGene.NM_001164771.1.inc,Brown and Thomson 2016
refGene.NM_001165032.1.inc,Brown and Thomson 2016
refGene.NM_001165946.1.inc,Brown and Thomson 2016
refGene.NM_001166283.1.inc,Brown and Thomson 2016
refGene.NM_001166696.1.inc,Brown and Thomson 2016
refGene.NM_001167741.1.inc,Brown and Thomson 2016
refGene.NM_001167882.1.inc,Brown and Thomson 2016
refGene.NM_001167942.1,Brown and Thomson 2016
refGene.NM_001168393.1.inc,Brown and Thomson 2016
refGene.NM_001168683.1.inc,Brown and Thomson 2016
refGene.NM_001170423.1,Brown and Thomson 2016
refGene.NM_001171990.1.inc,Brown and Thomson 2016
refGene.NM_001172086.1.inc,Brown and Thomson 2016
refGene.NM_001172110.1.inc,Brown and Thomson 2016
refGene.NM_001172818.1.inc,Brown and Thomson 2016
refGene.NM_001174166.1.inc,Brown and Thomson 2016
refGene.NM_001267.1,Brown and Thomson 2016
refGene.NM_001300.1.inc,Brown and Thomson 2016
refGene.NM_001387.1.inc,Brown and Thomson 2016
refGene.NM_001414.1.inc,Brown and Thomson 2016
refGene.NM_001446.1,Brown and Thomson 2016
refGene.NM_001584.1,Brown and Thomson 2016
refGene.NM_001604.1.inc,Brown and Thomson 2016
refGene.NM_001663.1,Brown and Thomson 2016
refGene.NM_001689.1.inc,Brown and Thomson 2016
refGene.NM_001731.1.inc,Brown and Thomson 2016
refGene.NM_001743.1.inc,Brown and Thomson 2016
refGene.NM_001806.1,Brown and Thomson 2016
refGene.NM_001827.1.inc,Brown and Thomson 2016
refGene.NM_001838.1.inc,Brown and Thomson 2016
refGene.NM_001885.1,Brown and Thomson 2016
refGene.NM_001946.1,Brown and Thomson 2016
refGene.NM_001958.1,Brown and Thomson 2016
refGene.NM_001973.1,Brown and Thomson 2016
refGene.NM_002032.1,Brown and Thomson 2016
refGene.NM_002106.1.inc,Brown and Thomson 2016
refGene.NM_002107.1,Brown and Thomson 2016
refGene.NM_002157.1.inc,Brown and Thomson 2016
refGene.NM_002166.1,Brown and Thomson 2016
refGene.NM_002192.1,Brown and Thomson 2016
refGene.NM_002202.1,Brown and Thomson 2016
refGene.NM_002225.1.inc,Brown and Thomson 2016
refGene.NM_002233.1.inc,Brown and Thomson 2016
refGene.NM_002236.1.inc,Brown and Thomson 2016
refGene.NM_002242.1.inc,Brown and Thomson 2016
refGene.NM_002252.1,Brown and Thomson 2016
refGene.NM_002266.1,Brown and Thomson 2016
refGene.NM_002359.1,Brown and Thomson 2016
refGene.NM_002360.1.inc,Brown and Thomson 2016
refGene.NM_002427.1,Brown and Thomson 2016
refGene.NM_002479.1.inc,Brown and Thomson 2016
refGene.NM_002488.1.inc,Brown and Thomson 2016
refGene.NM_002527.1,Brown and Thomson 2016
refGene.NM_002546.1.inc,Brown and Thomson 2016
refGene.NM_002563.1.inc,Brown and Thomson 2016
refGene.NM_002567.1,Brown and Thomson 2016
refGene.NM_002597.1.inc,Brown and Thomson 2016
refGene.NM_002642.1.inc,Brown and Thomson 2016
refGene.NM_002650.1.inc,Brown and Thomson 2016
refGene.NM_002667.1,Brown and Thomson 2016
refGene.NM_002713.1.inc,Brown and Thomson 2016
refGene.NM_002768.1.inc,Brown and Thomson 2016
refGene.NM_002787.1.inc,Brown and Thomson 2016
refGene.NM_002811.1.inc,Brown and Thomson 2016
refGene.NM_002839.1.inc,Brown and Thomson 2016
refGene.NM_002970.1.inc,Brown and Thomson 2016
refGene.NM_003013.1.inc,Brown and Thomson 2016
refGene.NM_003016.1,Brown and Thomson 2016
refGene.NM_003017.1,Brown and Thomson 2016
refGene.NM_003031.1,Brown and Thomson 2016
refGene.NM_003068.1,Brown and Thomson 2016
refGene.NM_003094.1,Brown and Thomson 2016
refGene.NM_003281.1.inc,Brown and Thomson 2016
refGene.NM_003348.1.inc,Brown and Thomson 2016
refGene.NM_003383.1.inc,Brown and Thomson 2016
refGene.NM_003393.1.inc,Brown and Thomson 2016
refGene.NM_003404.1,Brown and Thomson 2016
refGene.NM_003412.1,Brown and Thomson 2016
refGene.NM_003463.1,Brown and Thomson 2016
refGene.NM_003469.1,Brown and Thomson 2016
refGene.NM_003489.1,Brown and Thomson 2016
refGene.NM_003498.1,Brown and Thomson 2016
refGene.NM_003583.1,Brown and Thomson 2016
refGene.NM_003633.1,Brown and Thomson 2016
refGene.NM_003654.1,Brown and Thomson 2016
refGene.NM_003663.1,Brown and Thomson 2016
refGene.NM_003675.1.inc,Brown and Thomson 2016
refGene.NM_003728.1.inc,Brown and Thomson 2016
refGene.NM_003746.1,Brown and Thomson 2016
refGene.NM_003764.1.inc,Brown and Thomson 2016
refGene.NM_003783.1,Brown and Thomson 2016
refGene.NM_003831.1.inc,Brown and Thomson 2016
