"","x"
"315","0000178ti=4776cl=3db=184"
"316","0000180ti=43750cl=6db=184"
"317","0000180ti=6267cl=6db=184"
"318","0000180ti=96312cl=1db=184"
"319","0000181ti=166306cl=1db=184"
"320","0000181ti=36291cl=0db=184"
"321","0000181ti=8223cl=3db=184"
"322","0000182ti=3699cl=116db=184"
"323","0000183ti=185812cl=3db=184"
"324","0000184ti=147537cl=223db=184"
"325","0000184ti=4891cl=223db=184"
"326","0000185ti=41133cl=3db=184"
"327","0000185ti=63717cl=3db=184"
"328","0000186ti=34397cl=0db=184"
"329","0000186ti=45234cl=1db=184"
"330","0000186ti=569629cl=2db=184"
"331","0000187ti=107219cl=4db=184"
"332","0000187ti=122652cl=0db=184"
"333","0000187ti=50671cl=12db=184"
"334","0000187ti=82208cl=3db=184"
"335","0000188ti=183662cl=10db=184"
"336","0000188ti=98126cl=43db=184"
"337","0000190ti=150173cl=0db=184"
"338","0000191ti=337677cl=89db=184"
"339","0000193ti=7540cl=4db=184"
"340","0000194ti=50672cl=1db=184"
"341","0000194ti=70987cl=2db=184"
"342","0000195ti=318546cl=8db=184"
"343","0000195ti=319095cl=8db=184"
"344","0000195ti=7215cl=1db=184"
"345","0000196ti=232378cl=8db=184"
"346","0000196ti=36459cl=11db=184"
"347","0000196ti=4328cl=8db=184"
"348","0000197ti=30073cl=0db=184"
"349","0000197ti=60820cl=9db=184"
"350","0000197ti=9443cl=1318db=184"
"351","0000197ti=9526cl=47db=184"
"352","0000198ti=64387cl=10db=184"
"353","0000198ti=6646cl=0db=184"
"354","0000199ti=31386cl=0db=184"
"355","0000199ti=3683cl=5db=184"
"356","0000200ti=3699cl=31db=184"
"357","0000201ti=64588cl=7db=184"
"358","0000201ti=75968cl=0db=184"
"359","0000204ti=3646cl=9db=184"
"360","0000204ti=9133cl=220db=184"
"361","0000205ti=27390cl=4db=184"
"362","0000206ti=216294cl=2db=184"
"363","0000206ti=34448cl=13db=184"
"364","0000206ti=46877cl=1db=184"
"365","0000206ti=5820cl=3db=184"
"366","0000206ti=8180cl=2db=184"
"367","0000207ti=43469cl=8db=184"
"368","0000208ti=50935cl=2db=184"
"369","0000209ti=27532cl=9db=184"
